Ano;Mês;Classificação;Fonte;Rubrica;Receita;Receita Mês (R$);Receita Ano (R$);Receita Orçada (R$)
2026;02;17135050000;;;TRANSFERÊNCIAS DE RECURSOS DO BLOCO DE MANUTENÇÃO DAS AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE – GESTÃO DO SUS;392.875,73;392.875,73;6.435.000,00
2026;02;17135051002;0005;2010;Assistência Financeira Complementar da União destinada ao cumprimento dos pisos salariais da enfermagem;392.875,73;392.875,73;6.435.000,00
2026;02;17140000000;;;TRANSFERÊNCIAS DE RECURSOS DO FUNDO NACIONAL DO DESENVOLVIMENTO DA EDUCAÇÃO – FNDE¿ ;5.255.831,01;10.893.603,35;55.067.000,00
2026;02;17145000000;;;TRANSFERÊNCIAS DO SALÁRIO-EDUCAÇÃO;3.313.870,66;8.951.643,00;40.940.000,00
2026;02;17145001001;0005;1260;Transferência do Salário Educação - Principal;3.313.870,66;8.951.643,00;40.940.000,00
2026;02;17145200000;;;TRANSFERÊNCIAS REFERENTES AO PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR – PNAE;1.941.960,35;1.941.960,35;13.530.000,00
2026;02;17145201001;0005;2731;Programa Nacional de Alimentação Escolar - PNAE - Pré-Escola;365.879,00;365.879,00;3.043.000,00
2026;02;17145201002;0005;2732;Programa Nacional de Alimentação Escolar - PNAE - Atendimento Educacional Especializado - AEE;70.843,50;70.843,50;513.000,00
2026;02;17145201003;0005;2733;Programa Nacional de Alimentação Escolar - PNAE - Creche;621.327,50;621.327,50;5.126.000,00
2026;02;17145201004;0005;2734;Programa Nacional de Alimentação Escolar - PNAE - Ensino Fundamental;856.108,50;856.108,50;4.680.000,00
2026;02;17145201005;0005;2735;Programa Nacional de Alimentação Escolar - PNAE - Educação de Jovens e Adultos - EJA;9.811,10;9.811,10;88.000,00
2026;02;17145201006;0005;2736;Programa Nacional de Alimentação Escolar - PNAE - Ensino Médio;11.239,75;11.239,75;80.000,00
2026;02;17145201007;0005;2737;Programa Nacional de Alimentação Escolar - PNAE - Povos e Comunidades Tradicionais;6.751,00;6.751,00;0,00
2026;02;17145300000;;;TRANSFERÊNCIAS REFERENTES AO PROGRAMA NACIONAL DE APOIO AO TRANSPORTE DO ESCOLAR – PNATE;0,00;0,00;597.000,00
2026;02;17145301001;0005;2740;Programa Nacional de Apoio ao Transporte Escolar - PNATE;0,00;0,00;597.000,00
2026;02;17150000000;;;TRANSFERÊNCIAS DE RECURSOS DE COMPLEMENTAÇÃO DA UNIÃO AO FUNDO DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA E DE VALORIZAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO – FUNDEB ;0,00;583.116,64;0,00
